id,age group,sex,instumental or lyrical music,listen to english lyrics
2,24-26 years,Female,Music with lyrics,Always
3,24-26 years,Male,Music with lyrics,Always
4,24-26 years,Female,Music with lyrics,Sometimes
6,24-26 years,Male,Music with lyrics,Often
7,27-30 years,Male,Music with lyrics,Often
10,24-26 years,Male,Music with lyrics,Often
12,24-26 years,Female,Music with lyrics,Sometimes
14,24-26 years,Male,Instrumental music,Sometimes
15,27-30 years,Female,Instrumental music,Always
17,24-26 years,Female,Music with lyrics,Always
19,21-23 years,Male,Instrumental music,Often
20,21-23 years,Female,Music with lyrics,Sometimes
21,24-26 years,Female,Music with lyrics,Often
22,24-26 years,Male,Instrumental music,Sometimes
23,24-26 years,Female,Music with lyrics,Often
25,24-26 years,Female,Music with lyrics,Always
26,24-26 years,Female,Music with lyrics,Often
27,24-26 years,Female,Music with lyrics,Sometimes
30,24-26 years,Male,Instrumental music,Sometimes
31,24-26 years,Male,Music with lyrics,Often
33,21-23 years,Male,Music with lyrics,Often
34,21-23 years,Female,Music with lyrics,Sometimes
35,21-23 years,Female,Music with lyrics,Often
36,21-23 years,Male,Music with lyrics,Always
37,21-23 years,Female,Music with lyrics,Always
38,21-23 years,Male,Music with lyrics,Sometimes
39,21-23 years,Male,Instrumental music,Sometimes
40,21-23 years,Male,Music with lyrics,Sometimes
41,21-23 years,Male,Music with lyrics,Often
42,21-23 years,Female,Music with lyrics,Often
43,21-23 years,Male,Instrumental music,Often
44,21-23 years,Male,Music with lyrics,Often
45,21-23 years,Female,Instrumental music,Always
46,21-23 years,Male,Instrumental music,Always
47,21-23 years,Male,Music with lyrics,Sometimes
48,21-23 years,Male,Music with lyrics,Often
49,21-23 years,Male,Music with lyrics,Always
50,21-23 years,Male,Music with lyrics,Always
51,21-23 years,Male,Music with lyrics,Always
52,21-23 years,Male,Music with lyrics,Often
58,21-23 years,Male,Music with lyrics,Often
60,21-23 years,Male,Music with lyrics,Sometimes
62,21-23 years,Male,Music with lyrics,Often
63,21-23 years,Male,Instrumental music,Always
64,21-23 years,Female,Music with lyrics,Sometimes
65,21-23 years,Male,Instrumental music,Always
66,21-23 years,Male,Music with lyrics,Sometimes
67,21-23 years,Male,Music with lyrics,Often
68,21-23 years,Male,Music with lyrics,Often
69,21-23 years,Male,Music with lyrics,Sometimes
70,21-23 years,Male,Instrumental music,Always
71,21-23 years,Male,Music with lyrics,Often
72,21-23 years,Male,Music with lyrics,Sometimes
73,21-23 years,Female,Music with lyrics,Sometimes
74,21-23 years,Male,Instrumental music,Always
75,21-23 years,Male,Instrumental music,Sometimes
76,21-23 years,Male,Music with lyrics,Often
77,21-23 years,Male,Music with lyrics,Often
79,21-23 years,Male,Music with lyrics,Always
80,21-23 years,Male,Music with lyrics,Often
81,21-23 years,Male,Music with lyrics,Often
82,21-23 years,Male,Music with lyrics,Sometimes